"","subj","roi","PC1","PC2","beh_sim","cluster","category","diff","network"
"TD374.10","TD374","Right_IFG",0.0439764396695101,-0.0129196585864285,-0.0242271157933745,0.0452933204677566,0.00492609858366396,0.0403672218840926,"Prefrontal"
"l_s1101.11","l_s1101","Right_IPS",-0.058825782774865,0.0703854088140877,-0.0388491472186976,-0.0140666929945445,0.00858443980331774,-0.0226511327978622,"Prefrontal"
"l_s1102.11","l_s1102","Right_IPS",-0.0533289920130519,0.0140075261246503,-0.048086329037396,-0.0213118106699644,0.00631874171514434,-0.0276305523851087,"Prefrontal"
"l_s1104.11","l_s1104","Right_IPS",-0.0844895641935511,0.07029155532305,-0.0208235007850015,0.0671545804089136,0.0137605768448493,0.0533940035640643,"Prefrontal"
"l_s301.11","l_s301","Right_IPS",0.00201786046649266,-0.0603672962978937,-0.0675909420588316,-0.0422013371514869,-0.00342954801007626,-0.0387717891414106,"Prefrontal"
"l_s302.11","l_s302","Right_IPS",-0.0200544008621319,-0.0444203114820038,-0.0205431078796108,-0.0225720381459899,-0.00361661585419517,-0.0189554222917947,"Prefrontal"
"l_s303.11","l_s303","Right_IPS",-0.0228580372285945,-0.045041501768707,-0.0184098957736959,-0.0610413467411508,-0.0359320362668386,-0.0251093104743122,"Prefrontal"
"l_s304.11","l_s304","Right_IPS",0.0909292234169995,-0.0500087068865781,0.0693341887870872,-0.0237483150555652,-0.00683839066444117,-0.016909924391124,"Prefrontal"
"l_s305.11","l_s305","Right_IPS",0.00209507847075529,-0.00653405706688455,-0.039089639785764,-0.00558437679720181,-0.0454257862285581,0.0398414094313563,"Prefrontal"
"l_s306.11","l_s306","Right_IPS",-0.0324856794419372,0.0722956902967064,0.00341838390432153,0.0977841285172243,-0.0064018853104191,0.104186013827643,"Prefrontal"
"l_s308.11","l_s308","Right_IPS",-0.0427039678872979,0.0241953774676168,-0.00386946623619592,-0.0306603759805893,-0.02055931854704,-0.0101010574335493,"Prefrontal"
"l_s310.11","l_s310","Right_IPS",-0.0827001507463103,0.0193857208463816,-0.0144613663868361,-0.00951042353797605,0.00419860638021642,-0.0137090299181925,"Prefrontal"
"l_s312.11","l_s312","Right_IPS",-0.0152902676529309,-0.012156624114556,-0.0142104369052671,-0.0155995691148245,-0.00777376826861348,-0.00782580084621102,"Prefrontal"
"l_s313.11","l_s313","Right_IPS",0.00276062297386887,-0.0118440130726993,-0.0127480722376102,0.0190855716948145,-0.0100187331359154,0.0291043048307299,"Prefrontal"
"l_s314.11","l_s314","Right_IPS",0.123275893454046,-0.0394196337030542,0.0355622851702014,0.0468501529324884,-0.011099676768117,0.0579498297006054,"Prefrontal"
"l_s315.11","l_s315","Right_IPS",0.120314096205143,-0.0502392103920176,0.000218051426672213,0.0657206994458885,-0.0269855538056446,0.0927062532515331,"Prefrontal"
